,교량명,시도명,시군구명,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,교량높이
1238,탑전교,경기도,여주시,37.318752,127.75736,37.318603,127.757912,3.5
1239,토현1가도교,경기도,안성시,37.05628400000001,127.256526,37.056588,127.25693400000002,7.0
1240,하저교,경기도,화성시,37.177614,126.868689,37.177529,126.869212,3.0
1241,하품교,경기도,여주시,37.411754,127.451559,37.411878,127.451626,3.4
1242,하호교,경기도,여주시,37.410662,127.505581,37.410828,127.506117,5.2
1243,한산교,경기도,평택시,37.04449,126.96093700000002,37.044931,126.961752,7.0
1244,해룡7교,경기도,이천시,37.240329,127.496757,37.240468,127.496792,2.0
1245,향소교,경기도,양평군,37.554861,127.668162,37.554937,127.668795,3.0
1246,현수교,경기도,안성시,37.001127,127.283102,37.001814,127.284942,5.8
1247,효종교,경기도,여주시,37.307571,127.615039,37.308053,127.61502,8.0
1248,후리교,경기도,여주시,37.403122,127.446693,37.40336,127.44643,4.5
1249,희망교,경기도,여주시,37.422485,127.471719,37.422783,127.472114,4.0
1250,동화천1교,경기도,화성시,37.24615900000001,126.910829,37.245873,126.912331,8.0
1251,동화천2교,경기도,화성시,37.243576,126.932445,37.243585,126.935073,8.0
1252,비봉고가교,경기도,화성시,37.241635,126.886537,37.24682,126.890614,5.0
1253,어천육교,경기도,화성시,37.24887800000001,126.905587,37.248533,126.905938,5.7
1254,여촌교,경기도,양평군,37.47724,127.625778,37.476563,127.625956,3.9
1255,창뜰육교,경기도,광주시,37.349943,127.171677,37.34953,127.172023,5.0
1256,한천교,경기도,안성시,37.075867,127.26047,37.074256,127.260642,12.0
1257,동연교(고덕),경기도,평택시,37.052194,126.994018,37.05305900000001,126.997505,2.5
1258,삼가교,경기도,양평군,37.517019,127.661433,37.517649,127.660183,3.0
1259,원덕1교,경기도,양평군,37.465737,127.544126,37.466757,127.545792,2.5
1260,전호교,경기도,김포시,37.59735300000001,126.797399,37.599649,126.79579,2.5
1261,송정2교(상),경기도,이천시,37.305045,127.424567,37.304842,127.425271,3.0
1262,반월교,경기도,화성시,37.273804,126.86561299999998,37.273141,126.866629,6.0
1263,무송2교,경기도,화성시,37.188044,126.853478,37.188065,126.856068,5.0
1264,고잔교,경기도,평택시,37.064228,126.890324,37.063976,126.890431,7.3
1265,동연교(청북),경기도,평택시,37.053018,126.997501,37.052162,126.9941,13.0
1266,봉남교(오산),경기도,평택시,37.094949,127.089775,37.096828,127.089657,13.0
1267,봉남교(용인),경기도,평택시,37.096823,127.089501,37.095039,127.08963500000002,13.0
1268,을미의병교,경기도,양평군,37.418267,127.752122,37.419337,127.752165,5.0
1269,진목교,경기도,용인시 처인구,37.1062,127.134122,37.107449,127.132802,5.0
1270,두현교,경기도,안성시,37.071281,127.414064,37.07155,127.414171,3.5
1271,묘봉교,경기도,용인시 처인구,37.123585,127.212442,37.123339,127.21275,5.0
1272,세심2교,경기도,여주시,37.434997,127.499601,37.435414,127.500188,6.1
1273,송전1교,경기도,용인시 처인구,37.135882,127.200351,37.135099,127.200899,5.0
1274,마래교,경기도,여주시,37.269931,127.556598,37.270129,127.556607,4.0
1275,매류교,경기도,여주시,37.277682,127.563184,37.278028000000006,127.56355,4.0
