교량명,도로노선명,시도명,시군구명,시군구코드,소재지지번주소,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,교량높이
하천IC교(하),일반국도37호선,경기도,가평군,41820,경기도 가평군 청평면 하천리,37.749637,127.431363,37.749785,127.430888,4.5
다원1교,일반국도37호선,경기도,가평군,41820,경기도 가평군 상면 덕현리,37.756884,127.404994,37.757775,127.403715,12
다원2교,일반국도37호선,경기도,가평군,41820,경기도 가평군 상면 덕현리,37.759232,127.401394,37.760193,127.399777,5.5
덕현교,일반국도37호선,경기도,가평군,41820,경기도 가평군 상면 덕현리,37.761599,127.397373,37.762563,127.395724,5.2
상면교,일반국도37호선,경기도,가평군,41820,경기도 가평군 상면 임초리,37.772329,127.381357,37.772817,127.379879,15.2
항사1교,일반국도37호선,경기도,가평군,41820,경기도 가평군 상면 항사리,37.791686,127.367719,37.794552,127.36597,5
항사2교,일반국도37호선,경기도,가평군,41820,경기도 가평군 상면 항사리,37.79499,127.365502,37.795291,127.3651,10.6
상동천교,일반국도37호선,경기도,가평군,41820,경기도 가평군 상면 연하리,37.799558,127.351607,37.799992,127.351006,3.4
오빈IC교(상),일반국도6호선,경기도,양평군,41830,경기도 양평군 양평읍 오빈리,37.50275,127.473907,37.502685,127.474514,5
오빈IC교(하),일반국도6호선,경기도,양평군,41830,경기도 양평군 양평읍 오빈리,37.502634,127.473898,37.502562,127.474595,5
먹골IC교,일반국도46호선,경기도,남양주시,41360,경기도 남양주시 진건읍 진관리,37.648691,127.174235,37.648698,127.174722,5
신천교,일반국도3호선,경기도,양주시,41630,경기도 양주시 봉양동,37.860694,127.057647,37.862269,127.055758,5.1
용암1교,일반국도3호선,경기도,양주시,41630,경기도 양주시 은현면 용암리,37.864106,127.053525,37.864402,127.05316,4.8
용암2교,일반국도3호선,경기도,양주시,41630,경기도 양주시 은현면 용암리,37.866992,127.050021,37.867286,127.049664,4.7
은현IC교,일반국도3호선,경기도,양주시,41630,경기도 양주시 은현면 하패리,37.881165,127.03788,37.881284,127.037787,5
은현교,일반국도3호선,경기도,양주시,41630,경기도 양주시 은현면 하패리,37.881979,127.037175,37.882569,127.03662,5.5
은현IC RAMPE교,일반국도3호선,경기도,양주시,41630,경기도 양주시 은현면 하패리,37.882085,127.037344,37.882654,127.036784,7
하패1교,일반국도3호선,경기도,양주시,41630,경기도 양주시 은현면 하패리,37.892784,127.029717,37.893084,127.029583,5
하패2교,일반국도3호선,경기도,양주시,41630,경기도 양주시 은현면 하패리,37.895267,127.028867,37.895523,127.028776,5
진재교,일반국도3호선,경기도,양주시,41630,경기도 양주시 은현면 하패리,37.897413,127.028131,37.897657,127.028064,5
상패천1교,일반국도3호선,경기도,동두천시,41250,경기도 동두천시 상패동,37.900832,127.027597,37.901636,127.027624,5
상패천2교,일반국도3호선,경기도,동두천시,41250,경기도 동두천시 상패동,37.903435,127.027917,37.904982,127.028285,8
상패IC교,일반국도3호선,경기도,동두천시,41250,경기도 동두천시 상패동,37.90766,127.028919,37.907855,127.029016,5
상패IC RAMPA교,일반국도3호선,경기도,동두천시,41250,경기도 동두천시 상패동,37.908273,127.027582,37.908751,127.027065,7.5
사능1교(상),일반국도46호선,경기도,남양주시,41360,경기도 남양주시 평내동,37.649559,127.213003,37.649431,127.214333,10.1
사능1교(하),일반국도46호선,경기도,남양주시,41360,경기도 남양주시 평내동,37.649653,127.213051,37.649519,127.214403,10.1
